#, cameraTimestamp, cameraDelay, blinkProcTime, fx, fy, cx, cy, width, height, leftEyeX, leftEyeY, rightEyeX, rightEyeY, headPoseX, headPoseY, headPoseZ, headAngleX, headAngleY, headAngleZ, leftEye3DX, leftEye3DY, leftEye3DZ, rightEye3DX, rightEye3DY, rightEye3DZ, lux, deviceAccelerationX, deviceAccelerationY, deviceAccelerationZ, deviceGyrscopeX, deviceGyrscopeY, deviceGyrscopeZ
621, 47382668.648078, 28.626804, 5.092604, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 290.582703, 238.279312, 341.528320, 238.118355, 4.503782, 36.386169, 427.787109, -0.168444, -0.039494, 0.017986, -2.262818, -25.847366, 415.590729, -2.081572, 35.529316, 418.064972, 344.699646, 0.421844, 0.421844, 0.421844, 0.007723, -0.060853, 0.009055
622, 47382679.753286, 28.246180, 5.039323, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 290.168259, 237.715645, 341.256638, 237.186081, 4.775699, 35.491104, 428.434937, -0.163432, -0.036145, 0.021754, -3.388481, -25.555374, 416.147583, -2.765538, 36.056976, 418.379517, 344.699646, 0.450473, 0.450473, 0.450473, 0.017311, -0.020373, 0.005859
623, 47382690.858546, 27.019513, 6.115677, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 290.399673, 237.201721, 341.351654, 237.016060, 4.589586, 34.990967, 427.805969, -0.169539, -0.025810, 0.019321, -3.592848, -25.666965, 416.104767, -3.381882, 35.715649, 417.658905, 344.695129, 0.363136, 0.363136, 0.363136, 0.023169, 0.011052, -0.002663
624, 47382701.963807, 34.543263, 5.069532, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 290.388840, 237.104713, 341.440506, 236.840378, 4.660087, 34.710674, 428.062195, -0.175249, -0.032182, 0.018664, -3.806555, -25.788511, 416.342712, -3.504690, 35.785587, 418.323639, 344.695129, 0.094600, 0.094600, 0.094600, 0.023702, 0.031825, -0.015446
625, 47382713.069068, 33.834304, 5.962031, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 290.831085, 237.006721, 341.472015, 236.695656, 4.341985, 34.453850, 428.663483, -0.176313, -0.026533, 0.019392, -3.988545, -25.875950, 417.141327, -3.626924, 35.286308, 418.741150, 344.695129, 0.096603, 0.096603, 0.096603, 0.021039, 0.033955, -0.018642
626, 47382724.174328, 32.880658, 5.047657, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 291.496826, 236.728745, 341.959900, 236.823502, 4.353557, 34.364227, 429.170441, -0.176834, -0.034871, 0.008675, -3.835949, -26.475780, 417.328552, -3.971377, 34.547325, 419.547272, 344.839630, 0.178184, 0.178184, 0.178184, 0.017311, 0.044075, -0.019707
627, 47382735.279536, 31.630034, 5.107291, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 291.666580, 236.809052, 341.964996, 236.616684, 3.847813, 34.434128, 429.540222, -0.178121, -0.024424, 0.017101, -4.093267, -26.530964, 418.101379, -3.874127, 34.343739, 419.573730, 344.839630, 0.266261, 0.266261, 0.266261, 0.014647, 0.063783, -0.024501
628, 47382746.384797, 31.364564, 4.977657, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.317032, 236.864525, 341.959702, 236.523125, 3.597562, 34.384506, 430.372101, -0.180986, -0.025190, 0.016540, -4.215178, -26.579546, 418.967957, -3.815127, 33.628914, 420.494080, 344.839630, 0.329608, 0.329608, 0.329608, 0.019441, 0.090414, -0.022371
629, 47382757.490057, 30.149773, 4.909271, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.207108, 236.953011, 342.280411, 236.649368, 3.403346, 34.372498, 431.229706, -0.170020, -0.024025, 0.017512, -4.066586, -26.997322, 419.427795, -3.710802, 33.792873, 420.873016, 344.839813, 0.311072, 0.311072, 0.311072, 0.031692, 0.113317, -0.021838
630, 47382768.595318, 28.872898, 4.853802, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.325806, 237.251274, 342.455902, 236.855278, 3.586589, 34.636845, 430.488708, -0.173683, -0.032338, 0.011952, -3.808806, -27.153851, 418.562805, -3.345336, 33.626209, 420.593597, 344.839813, 0.200917, 0.200917, 0.200917, 0.043942, 0.137286, -0.025034
631, 47382779.700578, 26.878888, 5.758230, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.429291, 237.367073, 342.728470, 237.296753, 3.163413, 34.975060, 431.088501, -0.170595, -0.021670, 0.012053, -3.280454, -27.536745, 419.374573, -3.205167, 33.508453, 420.693817, 344.839813, 0.215019, 0.215019, 0.215019, 0.051399, 0.136221, -0.023436
632, 47382790.805786, 25.938107, 4.938072, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.550079, 237.636627, 342.849228, 237.500511, 3.040966, 35.350521, 431.084381, -0.174982, -0.026925, 0.011055, -3.033024, -27.681549, 419.351837, -2.879306, 33.388069, 421.027008, 344.853729, 0.308927, 0.308927, 0.308927, 0.054062, 0.120774, -0.024501
633, 47382801.911047, 35.241491, 5.105208, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.687927, 238.295395, 342.884354, 238.071342, 2.885667, 36.092476, 431.370178, -0.179166, -0.020819, 0.012346, -2.343854, -27.765675, 419.980652, -2.077782, 33.237289, 421.240997, 344.853729, 0.415760, 0.415760, 0.415760, 0.041812, 0.065913, -0.017577
