CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
519357.6745, 43.9177, 20.1918, 559.6347, 0.1713, 0.0057, 0.0468, 43.9177, 20.1918, 559.6347, 0.1713, 0.0057, 0.0468, 1081
519357.6912, 40.2152, 20.0835, 565.3862, 0.1962, 0.0198, 0.0421, 40.2152, 20.0835, 565.3862, 0.1962, 0.0198, 0.0421, 1082
519357.7079, 36.3330, 20.3310, 563.5214, 0.1672, 0.0140, 0.0240, 36.3330, 20.3310, 563.5214, 0.1672, 0.0140, 0.0240, 1083
519357.7246, 32.5285, 20.2583, 564.6302, 0.1880, 0.0209, 0.0254, 32.5285, 20.2583, 564.6302, 0.1880, 0.0209, 0.0254, 1084
519357.7413, 28.6568, 20.3098, 567.5316, 0.2025, 0.0089, 0.0188, 28.6568, 20.3098, 567.5316, 0.2025, 0.0089, 0.0188, 1085
519357.7579, 24.4755, 20.7915, 564.9480, 0.1893, 0.0100, 0.0180, 24.4755, 20.7915, 564.9480, 0.1893, 0.0100, 0.0180, 1086
519357.7746, 20.8032, 21.0454, 562.0196, 0.1716, 0.0073, 0.0104, 20.8032, 21.0454, 562.0196, 0.1716, 0.0073, 0.0104, 1087
519357.7913, 17.1484, 21.1758, 559.3679, 0.1700, 0.0010, 0.0104, 17.1484, 21.1758, 559.3679, 0.1700, 0.0010, 0.0104, 1088
519357.8080, 14.1980, 21.0353, 563.7393, 0.1948, 0.0005, 0.0014, 14.1980, 21.0353, 563.7393, 0.1948, 0.0005, 0.0014, 1089
519357.8247, 11.3089, 21.3650, 564.0533, 0.1770, -0.0060, -0.0046, 11.3089, 21.3650, 564.0533, 0.1770, -0.0060, -0.0046, 1090
519357.8413, 8.5224, 21.3734, 561.6814, 0.1821, -0.0187, -0.0111, 8.5224, 21.3734, 561.6814, 0.1821, -0.0187, -0.0111, 1091
519357.8580, 5.6442, 21.6290, 563.6655, 0.1814, -0.0359, -0.0137, 5.6442, 21.6290, 563.6655, 0.1814, -0.0359, -0.0137, 1092
519357.8747, 3.3329, 21.4767, 562.7128, 0.1988, -0.0382, -0.0092, 3.3329, 21.4767, 562.7128, 0.1988, -0.0382, -0.0092, 1093
519357.8914, 1.1731, 21.6630, 565.9757, 0.2077, -0.0323, -0.0136, 1.1731, 21.6630, 565.9757, 0.2077, -0.0323, -0.0136, 1094
519357.9081, -0.1998, 21.8069, 563.5797, 0.2036, -0.0378, -0.0217, -0.1998, 21.8069, 563.5797, 0.2036, -0.0378, -0.0217, 1095
519357.9247, -1.6334, 22.2232, 563.8553, 0.1880, -0.0377, -0.0227, -1.6334, 22.2232, 563.8553, 0.1880, -0.0377, -0.0227, 1096
519357.9414, -2.6511, 22.4422, 562.7448, 0.1786, -0.0232, -0.0255, -2.6511, 22.4422, 562.7448, 0.1786, -0.0232, -0.0255, 1097
519357.9585, -3.4727, 22.5567, 561.8126, 0.1860, -0.0265, -0.0310, -3.4727, 22.5567, 561.8126, 0.1860, -0.0265, -0.0310, 1098
519357.9752, -3.8201, 22.1060, 565.8384, 0.1986, -0.0294, -0.0347, -3.8201, 22.1060, 565.8384, 0.1986, -0.0294, -0.0347, 1099
519357.9919, -3.4437, 21.8181, 563.4294, 0.2134, -0.0413, -0.0328, -3.4437, 21.8181, 563.4294, 0.2134, -0.0413, -0.0328, 1100
519358.0086, -3.3771, 21.8957, 560.5162, 0.1932, -0.0367, -0.0411, -3.3771, 21.8957, 560.5162, 0.1932, -0.0367, -0.0411, 1101
519358.0253, -2.4515, 21.7829, 563.3295, 0.1872, -0.0245, -0.0426, -2.4515, 21.7829, 563.3295, 0.1872, -0.0245, -0.0426, 1102
519358.0420, -1.8710, 21.8218, 560.8883, 0.1786, -0.0229, -0.0394, -1.8710, 21.8218, 560.8883, 0.1786, -0.0229, -0.0394, 1103
519358.0586, -0.5894, 21.4753, 562.2302, 0.1917, -0.0367, -0.0357, -0.5894, 21.4753, 562.2302, 0.1917, -0.0367, -0.0357, 1104
519358.0753, 0.9831, 21.8548, 563.2468, 0.1928, -0.0353, -0.0344, 0.9831, 21.8548, 563.2468, 0.1928, -0.0353, -0.0344, 1105
519358.0920, 2.7617, 21.9879, 561.9854, 0.2082, -0.0419, -0.0337, 2.7617, 21.9879, 561.9854, 0.2082, -0.0419, -0.0337, 1106
519358.1087, 4.9917, 21.9633, 559.7529, 0.1797, -0.0463, -0.0322, 4.9917, 21.9633, 559.7529, 0.1797, -0.0463, -0.0322, 1107
519358.1254, 7.2369, 21.8932, 559.8101, 0.1941, -0.0392, -0.0365, 7.2369, 21.8932, 559.8101, 0.1941, -0.0392, -0.0365, 1108
519358.1421, 9.9737, 21.5421, 562.7614, 0.2022, -0.0304, -0.0330, 9.9737, 21.5421, 562.7614, 0.2022, -0.0304, -0.0330, 1109
519358.1588, 13.0446, 21.7865, 557.1028, 0.1907, -0.0271, -0.0263, 13.0446, 21.7865, 557.1028, 0.1907, -0.0271, -0.0263, 1110
519358.1755, 16.0027, 21.4170, 559.2808, 0.1982, -0.0242, -0.0223, 16.0027, 21.4170, 559.2808, 0.1982, -0.0242, -0.0223, 1111
519358.1921, 19.6764, 21.4113, 560.0891, 0.1931, -0.0224, -0.0235, 19.6764, 21.4113, 560.0891, 0.1931, -0.0224, -0.0235, 1112
519358.2088, 23.6226, 21.1481, 562.9857, 0.1881, -0.0068, -0.0247, 23.6226, 21.1481, 562.9857, 0.1881, -0.0068, -0.0247, 1113
519358.2255, 27.6671, 20.9026, 562.5503, 0.1892, -0.0016, -0.0159, 27.6671, 20.9026, 562.5503, 0.1892, -0.0016, -0.0159, 1114
519358.2422, 31.1297, 21.0850, 559.6631, 0.2078, -0.0016, -0.0073, 31.1297, 21.0850, 559.6631, 0.2078, -0.0016, -0.0073, 1115
519358.2589, 35.6660, 21.4778, 562.5964, 0.1880, 0.0088, -0.0003, 35.6660, 21.4778, 562.5964, 0.1880, 0.0088, -0.0003, 1116
519358.2756, 40.2772, 21.5065, 559.8563, 0.1879, -0.0052, 0.0030, 40.2772, 21.5065, 559.8563, 0.1879, -0.0052, 0.0030, 1117
519358.2923, 44.6871, 21.2835, 563.2856, 0.2083, -0.0019, 0.0085, 44.6871, 21.2835, 563.2856, 0.2083, -0.0019, 0.0085, 1118
519358.3090, 49.3600, 21.5405, 562.4863, 0.1830, -0.0085, 0.0194, 49.3600, 21.5405, 562.4863, 0.1830, -0.0085, 0.0194, 1119
519358.3256, 54.3602, 21.6461, 563.2463, 0.1829, 0.0010, 0.0227, 54.3602, 21.6461, 563.2463, 0.1829, 0.0010, 0.0227, 1120
519358.3423, 59.7845, 21.8093, 565.5748, 0.1830, -0.0067, 0.0259, 59.7845, 21.8093, 565.5748, 0.1830, -0.0067, 0.0259, 1121
519358.3587, 65.0725, 21.6138, 566.6821, 0.1977, 0.0140, 0.0318, 65.0725, 21.6138, 566.6821, 0.1977, 0.0140, 0.0318, 1122
519358.3754, 70.2364, 22.2718, 567.1053, 0.1856, 0.0007, 0.0324, 70.2364, 22.2718, 567.1053, 0.1856, 0.0007, 0.0324, 1123
519358.3920, 74.6815, 22.5266, 561.4670, 0.1933, -0.0038, 0.0435, 74.6815, 22.5266, 561.4670, 0.1933, -0.0038, 0.0435, 1124
519358.4087, 80.0693, 22.4001, 564.8635, 0.1995, 0.0091, 0.0463, 80.0693, 22.4001, 564.8635, 0.1995, 0.0091, 0.0463, 1125
519358.4254, 85.9124, 22.7478, 565.2750, 0.1903, 0.0118, 0.0530, 85.9124, 22.7478, 565.2750, 0.1903, 0.0118, 0.0530, 1126
519358.4421, 90.6753, 23.1930, 563.0364, 0.1882, 0.0100, 0.0559, 90.6753, 23.1930, 563.0364, 0.1882, 0.0100, 0.0559, 1127
519358.4588, 96.1006, 23.1617, 568.1259, 0.1745, 0.0155, 0.0674, 96.1006, 23.1617, 568.1259, 0.1745, 0.0155, 0.0674, 1128
519358.4754, 101.0052, 23.1188, 567.7197, 0.1895, 0.0267, 0.0749, 101.0052, 23.1188, 567.7197, 0.1895, 0.0267, 0.0749, 1129
519358.4921, 106.0399, 23.1891, 569.8566, 0.1716, 0.0182, 0.0865, 106.0399, 23.1891, 569.8566, 0.1716, 0.0182, 0.0865, 1130
519358.5088, 110.2092, 23.5662, 567.5994, 0.1644, 0.0354, 0.0848, 110.2092, 23.5662, 567.5994, 0.1644, 0.0354, 0.0848, 1131
519358.5255, 114.7614, 23.6211, 568.6725, 0.1622, 0.0288, 0.0928, 114.7614, 23.6211, 568.6725, 0.1622, 0.0288, 0.0928, 1132
519358.5422, 118.4079, 23.5579, 566.9711, 0.1772, 0.0327, 0.0964, 118.4079, 23.5579, 566.9711, 0.1772, 0.0327, 0.0964, 1133
519358.5588, 122.7726, 23.7945, 567.7394, 0.1675, 0.0367, 0.1033, 122.7726, 23.7945, 567.7394, 0.1675, 0.0367, 0.1033, 1134
519358.5755, 126.2814, 23.9977, 566.6421, 0.1537, 0.0448, 0.1017, 126.2814, 23.9977, 566.6421, 0.1537, 0.0448, 0.1017, 1135
519358.5922, 128.8847, 24.4893, 563.5547, 0.1591, 0.0467, 0.1087, 128.8847, 24.4893, 563.5547, 0.1591, 0.0467, 0.1087, 1136
519358.6089, 132.1102, 24.7775, 564.4615, 0.1482, 0.0473, 0.1174, 132.1102, 24.7775, 564.4615, 0.1482, 0.0473, 0.1174, 1137
519358.6256, 134.8730, 24.9908, 565.4709, 0.1545, 0.0683, 0.1238, 134.8730, 24.9908, 565.4709, 0.1545, 0.0683, 0.1238, 1138
519358.6422, 137.5331, 25.1219, 566.4808, 0.1727, 0.0686, 0.1214, 137.5331, 25.1219, 566.4808, 0.1727, 0.0686, 0.1214, 1139
519358.6589, 138.9991, 25.4117, 564.4078, 0.1566, 0.0671, 0.1289, 138.9991, 25.4117, 564.4078, 0.1566, 0.0671, 0.1289, 1140
519358.6756, 141.5323, 25.3467, 567.6041, 0.1632, 0.0673, 0.1277, 141.5323, 25.3467, 567.6041, 0.1632, 0.0673, 0.1277, 1141
519358.6923, 142.1811, 25.4115, 564.1553, 0.1676, 0.0676, 0.1300, 142.1811, 25.4115, 564.1553, 0.1676, 0.0676, 0.1300, 1142
519358.7090, 143.9325, 25.4382, 567.3125, 0.1787, 0.0511, 0.1318, 143.9325, 25.4382, 567.3125, 0.1787, 0.0511, 0.1318, 1143
519358.7257, 144.2425, 25.5007, 565.4894, 0.1728, 0.0684, 0.1314, 144.2425, 25.5007, 565.4894, 0.1728, 0.0684, 0.1314, 1144
519358.7423, 144.4491, 25.1162, 563.9330, 0.1725, 0.0622, 0.1315, 144.4491, 25.1162, 563.9330, 0.1725, 0.0622, 0.1315, 1145
519358.7590, 144.8091, 25.2867, 565.4665, 0.1721, 0.0737, 0.1315, 144.8091, 25.2867, 565.4665, 0.1721, 0.0737, 0.1315, 1146
519358.7757, 144.8372, 25.3206, 566.2281, 0.1634, 0.0610, 0.1308, 144.8372, 25.3206, 566.2281, 0.1634, 0.0610, 0.1308, 1147
519358.7924, 143.1205, 25.2630, 563.5495, 0.1553, 0.0491, 0.1317, 143.1205, 25.2630, 563.5495, 0.1553, 0.0491, 0.1317, 1148
519358.8091, 142.0768, 25.4639, 562.3984, 0.1315, 0.0477, 0.1317, 142.0768, 25.4639, 562.3984, 0.1315, 0.0477, 0.1317, 1149
519358.8258, 141.3564, 25.4126, 565.0954, 0.1381, 0.0529, 0.1311, 141.3564, 25.4126, 565.0954, 0.1381, 0.0529, 0.1311, 1150
519358.8425, 138.9148, 25.2031, 562.9229, 0.1255, 0.0456, 0.1310, 138.9148, 25.2031, 562.9229, 0.1255, 0.0456, 0.1310, 1151
519358.8592, 137.6625, 24.9435, 563.2729, 0.1042, 0.0414, 0.1258, 137.6625, 24.9435, 563.2729, 0.1042, 0.0414, 0.1258, 1152
519358.8758, 136.0152, 24.7029, 564.8532, 0.1234, 0.0311, 0.1271, 136.0152, 24.7029, 564.8532, 0.1234, 0.0311, 0.1271, 1153
519358.8925, 133.8730, 24.5614, 566.3884, 0.1091, 0.0309, 0.1299, 133.8730, 24.5614, 566.3884, 0.1091, 0.0309, 0.1299, 1154
519358.9092, 130.5105, 24.1930, 564.5451, 0.1274, 0.0189, 0.1262, 130.5105, 24.1930, 564.5451, 0.1274, 0.0189, 0.1262, 1155
519358.9259, 128.5585, 24.1222, 565.5299, 0.1259, 0.0218, 0.1160, 128.5585, 24.1222, 565.5299, 0.1259, 0.0218, 0.1160, 1156
519358.9426, 123.9756, 24.3240, 560.3740, 0.1260, 0.0270, 0.1225, 123.9756, 24.3240, 560.3740, 0.1260, 0.0270, 0.1225, 1157
519358.9593, 121.4495, 23.8737, 562.4172, 0.1295, 0.0181, 0.1116, 121.4495, 23.8737, 562.4172, 0.1295, 0.0181, 0.1116, 1158
519358.9760, 118.2070, 24.3878, 563.4265, 0.1319, 0.0168, 0.1116, 118.2070, 24.3878, 563.4265, 0.1319, 0.0168, 0.1116, 1159
519358.9927, 115.0816, 24.2077, 564.4807, 0.1441, 0.0082, 0.1128, 115.0816, 24.2077, 564.4807, 0.1441, 0.0082, 0.1128, 1160
519359.0093, 112.2276, 23.8872, 569.0297, 0.1409, 0.0180, 0.1063, 112.2276, 23.8872, 569.0297, 0.1409, 0.0180, 0.1063, 1161
519359.0260, 108.6434, 23.9234, 567.8668, 0.1454, 0.0231, 0.0961, 108.6434, 23.9234, 567.8668, 0.1454, 0.0231, 0.0961, 1162
519359.0427, 104.1748, 23.7589, 563.6895, 0.1267, 0.0164, 0.0974, 104.1748, 23.7589, 563.6895, 0.1267, 0.0164, 0.0974, 1163
519359.0594, 101.5407, 23.5883, 566.6282, 0.1211, 0.0192, 0.0860, 101.5407, 23.5883, 566.6282, 0.1211, 0.0192, 0.0860, 1164
519359.0761, 97.4525, 23.6828, 566.4730, 0.1326, 0.0087, 0.0896, 97.4525, 23.6828, 566.4730, 0.1326, 0.0087, 0.0896, 1165
519359.0928, 93.7636, 23.8138, 566.4910, 0.1365, 0.0234, 0.0793, 93.7636, 23.8138, 566.4910, 0.1365, 0.0234, 0.0793, 1166
519359.1095, 90.1719, 23.8492, 566.8028, 0.1362, 0.0083, 0.0808, 90.1719, 23.8492, 566.8028, 0.1362, 0.0083, 0.0808, 1167
