captureTime,frameNumber,leftEyes[0].x,leftEyes[0].y,leftEyes[1].x,leftEyes[1].y,rightEyes[0].x,rightEyes[0].y,rightEyes[1].x,rightEyes[1].y,leftEyes[0].x.2d,leftEyes[0].y.2d,leftEyes[1].x.2d,leftEyes[1].y.2d,rightEyes[0].x.2d,rightEyes[0].y.2d,rightEyes[1].x.2d,rightEyes[1].y.2d
365654.1243,359,221.8213348,261.878479,280.7015991,261.8905029,262.1410522,261.0692139,321.3848572,261.2398987,220.8118896,263.3113709,279.9305725,263.0427246,260.3632507,260.8613586,319.5457153,260.7944336
365654.141,360,227.5955658,262.0551147,286.9598999,261.5300903,268.2330322,261.5578613,327.5945435,261.4822388,226.7857513,263.0500183,285.903595,262.7588806,266.5118103,260.9039307,325.6670227,260.8412476
365654.158,361,233.8596649,261.8898315,292.7213135,261.6847534,274.2077026,261.8105774,333.6148376,261.7420044,232.8478088,262.8131714,291.9234619,262.5569153,272.7251587,260.9949341,331.8220825,260.9226074
365654.1752,362,239.8685913,261.8520508,298.4451294,261.4172363,280.5114136,262.1512756,339.6223145,261.9316711,239.0351868,262.625,297.9281921,262.3620911,279.0461426,261.140564,338.0041504,261.0306396
365654.1912,363,245.8003387,262.2628174,304.3692017,261.479126,286.1558533,262.5209656,345.7410584,261.8867493,245.1825104,262.5261841,304.0279541,262.2014465,285.2896118,261.3534546,344.2683411,261.1409912
365654.208,364,251.0740662,262.0646973,310.3981934,261.2544556,292.3686218,262.825592,351.52948,262.2127075,251.241684,262.43396,310.1226501,262.0397034,291.4762268,261.5787048,350.519989,261.2845154
365654.2247,365,257.2722168,261.7075806,316.2174072,261.0011597,298.2088013,262.8685913,357.4366455,262.4740601,257.293457,262.3125,316.1853333,261.8688049,297.6248779,261.7762451,356.7118225,261.4558716
365654.2419,366,262.894989,261.8106689,321.6941528,261.5836792,303.9992065,263.0908813,363.2385254,262.7593384,263.2087708,262.2337952,322.0781555,261.7914734,303.6526184,261.9799805,362.7667236,261.6716309
365654.2584,367,268.1201172,262.1629028,327.4162598,261.453125,309.7354126,263.4662781,368.8952332,262.9174194,269.0009766,262.2129822,327.9008484,261.7149353,309.6029053,262.2047729,368.7282104,261.8694458
365654.2748,368,274.0542908,262.1687622,333.4207153,261.5922241,315.1188354,263.8069153,374.4445496,263.0461426,274.6830139,262.2034607,333.6710205,261.6669312,315.3762512,262.4427185,374.618866,262.0750427
365654.2909,369,279.5007935,262.7579956,338.7487793,261.7609558,321.0314636,264.4829407,380.0052185,263.6092224,280.3087769,262.2460938,339.3218689,261.6545105,321.1419373,262.7386475,380.3549194,262.3005371
365654.3087,370,284.7192383,262.7809448,344.1288452,262.1994629,325.9924622,264.5622559,385.3397217,263.8335571,285.6946411,262.2857971,344.8304138,261.683136,326.621521,263.0209351,385.9658813,262.5405273
365654.3244,371,289.7062378,263.1147156,349.4909058,262.248291,330.7645264,264.7698364,390.5352478,264.0721741,290.8528748,262.4188538,350.1712646,261.7515869,331.8413086,263.3593445,391.3368225,262.815155
365654.3417,372,294.7438354,263.3649902,354.2247925,262.5198975,335.814209,265.3276672,395.3007202,264.6795959,295.8747559,262.5863342,355.2956238,261.8901978,336.8992615,263.731781,396.4979553,263.1377258
365654.3581,373,299.7199097,263.4894409,359.2675171,262.8267822,340.4421692,265.6012573,400.0209351,264.9943848,300.743988,262.7733765,360.2698364,262.0584106,341.7996826,264.1014709,401.4604797,263.481781
365654.3755,374,303.7677612,263.6952515,363.9274902,262.9882202,344.6689453,265.6755981,404.6541443,265.3746948,305.323822,262.9659424,365.0479736,262.2532959,346.401062,264.4341125,406.2010803,263.8326721
365654.3915,375,308.1084595,263.9156494,367.9862671,263.0090942,348.3759766,266.3339844,408.3415527,265.9885559,309.6066284,263.1782227,369.4854126,262.4519653,350.6765137,264.826416,410.5538025,264.2456665
365654.4081,376,311.7275391,264.1506348,371.4127808,263.4533081,351.8525391,266.7857056,411.80896,266.4315491,313.5431213,263.4243774,373.4851074,262.7092285,354.515564,265.2287292,414.4922485,264.6712646
365654.4247,377,314.3942871,264.3719482,374.5319824,263.8544312,354.9480591,267.2832336,415.0511475,266.6019592,316.9892578,263.6745911,377.0658264,262.9831238,357.9297791,265.6248169,418.0146179,265.0513916
365654.4413,378,317.3071289,264.6003418,377.4385376,263.9232788,357.7167969,267.5039063,417.699707,266.9248352,320.0474854,263.9147339,380.2003479,263.2153015,360.9301453,266.0002441,421.0422058,265.43573
365654.4583,379,319.6798096,264.7704468,379.6368408,264.2443237,359.8529053,267.9196472,419.8282471,267.4117432,322.6356506,264.1409302,382.8018799,263.4701233,363.3981323,266.380249,423.536438,265.8324585
365654.4744,380,321.7149658,265.2208862,381.3361206,264.5429382,361.3345642,268.2308044,421.4350586,267.5570374,324.7302551,264.3926392,384.8548279,263.7102661,365.3723145,266.7462769,425.5123291,266.2026367
365654.491,381,322.8717041,265.043457,382.3360291,264.6735535,362.4564819,268.124054,422.3951111,267.7416382,326.3229675,264.5751953,386.2903748,263.940979,366.8028564,267.0418091,426.8480835,266.5350037
